Date,U.S. No 2 Diesel Retail Prices (Dollars per Gallon)
5/18/2020,3.244
6/18/2020,3.253
7/18/2020,3.233
8/18/2020,3.218
9/18/2020,3.262
10/18/2020,3.365
11/18/2020,3.3
12/18/2020,3.123
1/19/2020,2.98
2/19/2020,2.997
3/19/2020,3.076
4/19/2020,3.121
5/19/2020,3.161
6/19/2020,3.089
7/19/2020,3.045
8/19/2020,3.005
9/19/2020,3.016
10/19/2020,3.053
11/19/2020,3.069
12/19/2020,3.055
1/20/2020,3.048
2/20/2020,2.91
3/20/2020,2.729
4/20/2020,2.493
5/20/2020,2.392
